KIDEN	Sinistralité RC - SNB11 2-3	Code usage - CUSA  5-6	Age de l assuré - DNAI 8-9	Sexe - SEXE 11-12	Code Langue - CLAN 14-15	Code postal souscripteur - POSS2 17-18	Bonus-malus RC(année en cours) - GBMC 20	Bonus-Malus Année -1 - GBM1	Puissance du véhicule (12 mod) - PUIS 32	Date effet Police (2 mod) - DPEP 26-27	Année de construction du véhicule (2 mod	Primes acquises RC 1991 en francs belges
1	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=3	BM=3	BM_1=1	PUIS12M=1	DPOLI2M=1	DCONS2M=1	PRIM3M=1
2	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
3	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
8	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=11	BM=1	BM_1=1	PUIS12M=8	DPOLI2M=2	DCONS2M=1	PRIM3M=2
11	SINIST=1	CUSAG=2	AGE=2	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
12	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=4	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
14	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
15	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=2	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=1
16	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=4	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=1
17	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=3	BM=1	BM_1=1	PUIS12M=5	DPOLI2M=1	DCONS2M=1	PRIM3M=2
18	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
19	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=2	CPOST=6	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
20	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
21	SINIST=1	CUSAG=2	AGE=2	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
22	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=2	PRIM3M=2
23	SINIST=1	CUSAG=2	AGE=2	SEXE=1	CLANG=2	CPOST=11	BM=1	BM_1=1	PUIS12M=9	DPOLI2M=1	DCONS2M=2	PRIM3M=2
25	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=2	PRIM3M=2
26	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=7	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
28	SINIST=2	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=3	PUIS12M=4	DPOLI2M=1	DCONS2M=2	PRIM3M=2
30	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
33	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=8	DPOLI2M=1	DCONS2M=1	PRIM3M=2
37	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=6	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
